# Number of Shifts
param shifts = 5;

# Hours in a Workday
param hours = 13;

# Number of teams
param teams = 6;

# Shift Coefficient Matrix
param hr(tr):
	1 2 3 4 5:=
1   1 0 0 0 0
2	1 1 0 0 0
3	1 1 1 0 0
4	1 1 1 1 0
5	0 1 1 1 1
6   1 0 1 1 1
7   1 1 0 1 1
8   1 1 1 0 1
9   1 1 1 1 0
10  0 1 1 1 1
11  0 0 1 1 1
12  0 0 0 1 1
13	0 0 0 0 1;

# team calls avg per hour
param calls(tr):
	1 2 3 4 5 6:=
1	5 1 2 2 2 1
2	16 5 7 4 5 0
3	32 9 14 17 11 0
4	38 12 14 16 11 0
5	36 14 15 19 12 0
6	36 13 15 17 11 0
7	34 15 12 15 10 0
8	33 13 13 16 12 0
9	33 11 13 12 10 1
10	29 8 10 9 9 0
11	23 5 8 6 7 0
12	14 4 5 5 5 0
13	11 4 3 5 3 0;

/*
# Team/Product Matrix
param prod = 19;
param prodtm(tr):
	1 2 3 4 5:=
1	1 0 0 0 0
2	0 1 0 0 0
3	0 0 1 0 0
4	1 0 0 0 0
5	0 0 0 1 0
6	1 0 0 0 0
7	1 0 0 0 0
8	1 0 0 0 0
9	1 0 0 0 0
10	1 0 0 0 0
11	1 0 0 0 0
12	0 0 0 0 1
13	0 0 0 0 1
14	1 0 0 0 0
15	0 0 1 0 0
16	1 0 0 0 0
17	0 0 1 0 0
18	0 1 0 0 0
19	0 0 0 1 0;
*/
